# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	56389	57759	+	AQZ88963.1			bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase			B4U62_00310	1371	456	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	57782	58735	+							B4U62_00315	954		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	57782	58735	+	AQZ88964.1			ribose-phosphate pyrophosphokinase			B4U62_00315	954	317	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	58820	59434	+							B4U62_00320	615		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	58820	59434	+	AQZ88965.1			50S ribosomal protein L25/general stress protein Ctc			B4U62_00320	615	204	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	59541	60107	+							B4U62_00325	567		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	59541	60107	+	AQZ88966.1			peptidyl-tRNA hydrolase			B4U62_00325	567	188	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	60167	60397	+							B4U62_00330	231		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	60167	60397	+	AQZ88967.1			peptide ABC transporter permease			B4U62_00330	231	76	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	60467	64000	+							B4U62_00335	3534		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	60467	64000	+	AQZ88968.1			transcription-repair coupling factor			B4U62_00335	3534	1177	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	64136	64672	+							B4U62_00340	537		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	64136	64672	+	AQZ88969.1			stage V sporulation protein T			B4U62_00340	537	178	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	64854	66452	+							B4U62_00345	1599		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	64854	66452	+	AQZ88970.1			hypothetical protein			B4U62_00345	1599	532	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	66442	67911	+							B4U62_00350	1470		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	66442	67911	+	AQZ88971.1			MazG family protein			B4U62_00350	1470	489	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	67914	68174	+							B4U62_00355	261		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	67914	68174	+	AQZ88972.1			hypothetical protein			B4U62_00355	261	86	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	68253	68555	+							B4U62_00360	303		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	68253	68555	+	AQZ88973.1			spore protein YabP			B4U62_00360	303	100	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	68552	69187	+							B4U62_00365	636		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	68552	69187	+	AQZ88974.1			spore protein YabQ			B4U62_00365	636	211	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	69205	69582	+							B4U62_00370	378		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	69205	69582	+	AQZ88975.1			cell division protein DIVIC			B4U62_00370	378	125	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	69663	70049	+							B4U62_00375	387		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	69663	70049	+	AQZ88976.1			RNA-binding protein S1			B4U62_00375	387	128	
gene	tRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	70218	70294	+							B4U62_00380	77		
tRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	70218	70294	+				tRNA-Met			B4U62_00380	77		anticodon=CAT
gene	tRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	70304	70375	+							B4U62_00385	72		
tRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	70304	70375	+				tRNA-Glu			B4U62_00385	72		anticodon=TTC
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	70575	73058	+							B4U62_00390	2484		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	70575	73058	+	AQZ88977.1			stage II sporulation protein E			B4U62_00390	2484	827	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	73143	73880	+							B4U62_00395	738		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	73143	73880	+	AQZ88978.1			hypothetical protein			B4U62_00395	738	245	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	73846	74862	+							B4U62_00400	1017		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	73846	74862	+	AQZ88979.1			serine/threonine protein kinase			B4U62_00400	1017	338	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	74966	76384	+							B4U62_00405	1419		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	74966	76384	+	AQZ88980.1			tRNA(Ile)-lysidine synthetase			B4U62_00405	1419	472	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	76381	76923	+							B4U62_00410	543		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	76381	76923	+	AQZ88981.1			hypoxanthine-guanine phosphoribosyltransferase			B4U62_00410	543	180	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	77021	78934	+							B4U62_00415	1914		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	77021	78934	+	AQZ88982.1			ATP-dependent zinc metalloprotease FtsH			B4U62_00415	1914	637	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	79129	79905	+							B4U62_00420	777		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	79129	79905	+	AQZ88983.1			type III pantothenate kinase			B4U62_00420	777	258	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	79917	80792	+							B4U62_00425	876		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	79917	80792	+	AQZ88984.1			molecular chaperone Hsp33			B4U62_00425	876	291	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	80839	81732	+							B4U62_00430	894		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	80839	81732	+	AQZ88985.1			peptidylprolyl isomerase			B4U62_00430	894	297	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	81808	82734	+							B4U62_00435	927		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	81808	82734	+	AQZ88986.1			cysteine synthase A			B4U62_00435	927	308	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	82901	84313	+							B4U62_00440	1413		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	82901	84313	+	AQZ88987.1			aminodeoxychorismate synthase			B4U62_00440	1413	470	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	84327	84911	+							B4U62_00445	585		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	84327	84911	+	AQZ88988.1			glutamine amidotransferase			B4U62_00445	585	194	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	84911	85792	+							B4U62_00450	882		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	84911	85792	+	AQZ88989.1			4-amino-4-deoxychorismate lyase			B4U62_00450	882	293	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	85774	86631	+							B4U62_00455	858		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	85774	86631	+	AQZ88990.1			dihydropteroate synthase			B4U62_00455	858	285	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	86624	86986	+							B4U62_00460	363		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	86624	86986	+	AQZ88991.1			dihydroneopterin aldolase			B4U62_00460	363	120	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	86983	87486	+							B4U62_00465	504		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	86983	87486	+	AQZ88992.1			2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase			B4U62_00465	504	167	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	87438	87647	+							B4U62_00470	210		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	87438	87647	+	AQZ88993.1			transcriptional regulator			B4U62_00470	210	69	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	87671	88672	+							B4U62_00475	1002		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	87671	88672	+	AQZ88994.1			tRNA-dihydrouridine synthase			B4U62_00475	1002	333	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	88764	90263	+							B4U62_00480	1500		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	88764	90263	+	AQZ88995.1			lysine--tRNA ligase			B4U62_00480	1500	499	
gene	rRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	90573	92127	+							B4U62_00485	1555		
rRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	90573	92127	+				16S ribosomal RNA			B4U62_00485	1555		
gene	rRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	92290	95222	+							B4U62_00490	2933		
rRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	92290	95222	+				23S ribosomal RNA			B4U62_00490	2933		
gene	rRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	95274	95389	+					rrf		B4U62_00495	116		
rRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	95274	95389	+				5S ribosomal RNA	rrf		B4U62_00495	116		
gene	tRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	95412	95487	+							B4U62_00500	76		
tRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	95412	95487	+				tRNA-Val			B4U62_00500	76		anticodon=TAC
gene	tRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	95492	95567	+							B4U62_00505	76		
tRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	95492	95567	+				tRNA-Thr			B4U62_00505	76		anticodon=TGT
gene	tRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	95604	95679	+							B4U62_00510	76		
tRNA		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	95604	95679	+				tRNA-Lys			B4U62_00510	76		anticodon=TTT
gene	tRNA	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	95686	95768	+							B4U62_00515	83		
